,Word,Frequency
401,riesgos,1
402,utilizar,1
403,activos,1
404,virtuales,1
405,"(Bitcoin,",1
406,"Ehter,",1
407,XRP,1
408,otros):,1
409,Comunicado,1
410,completo:,1
411,https://t.co/rJf49Iqzfw,1
412,https://t.co/TZb5IuLLyf,1
413,8.,1
414,Los,1
415,únicos,1
416,pueden,1
417,ser,3
418,convertidos,1
419,son,1
420,dará,1
421,Esos,1
422,gastados.,1
423,¿Por,1
424,qué?,1
425,Porque,1
426,propósito,2
427,esos,1
428,es,7
429,regalar,1
430,"dinero,",1
431,sino,1
432,incentivar,1
433,uso,2
434,la,9
435,@chivowallet.,2
436,Sigue,5
437,7.,1
438,La,2
439,conversión,2
440,o,7
441,libre,1
442,puede,1
443,hacer,5
444,momento,2
445,desde,1
446,"@chivowallet,",1
447,precio,1
448,mercado,1
449,momento.,1
450,Esto,2
451,también,1
452,sin,2
453,comisión.,3
454,No,2
455,obligación,1
456,ninguna,1
457,si,2
458,desea.,1
459,don't,2
460,#gold,1
461,get,7
462,rich.,3
463,gold,6
464,stay,2
465,Most,1
466,who,3
467,doing,1
468,so,8
469,problem,1
470,putting,1
471,too,4
472,much,7
473,money,7
474,into,9
475,something,1
476,potential,3
477,rich,2
478,also,1
479,an,8
480,greater,1
481,poor.,1
482,6.,1
483,Habrán,1
484,puntos,1
485,Chivo,2
486,(entre,1
487,cajeros,2
488,sucursales),1
489,centros,2
490,históricos,1
491,"comerciales,",1
492,donde,1
493,retirar,1
494,También,1
495,"depósitos,",1
496,compra,1
497,otros,1
498,servicios.,1
499,Todo,1
500,será,1
501,5.,1
502,tenga,1
503,reciba,1
504,(en,2
505,bitcoin),1
506,@chivowallet,2
507,podrá,2
508,retirado,1
509,dólares),1
510,desee.,1
511,Se,1
512,sucursales,1
513,físicas,1
514,abrirán,1
515,Cajeros,1
516,Chivo.,1
517,NO,1
518,tendrá,2
519,4.,1
520,ningún,1
521,"costo,",1
522,habrá,1
523,comisiones,2
524,para,5
525,enviar,1
526,recibir,2
527,"remesas,",1
528,ni,1
529,"pagos,",1
530,tampoco,1
531,convertir,1
532,viceversa.,1
533,cobrará,1
534,comisión,1
535,"comercios,",1
536,como,2
537,sí,1
538,hacen,1
539,tarjetas,1
540,crédito.,1
541,On,3
542,"Thursday,",1
543,July,2
544,1,7
545,at,16
546,4pm,1
547,EDT,1
548,Mining,2
549,Council,1
550,distribute,1
551,its,4
552,Q2,1
553,2021,2
554,"Briefing,",1
555,clarifying,1
556,actual,1
557,Electricity,1
558,"Usage,",1
559,followed,1
560,briefing,1
561,general,1
562,5pm.,1
563,working,9
564,structure,1
565,"state-backed,",1
566,blockchain-based,1
567,securities,1
568,"offering,",1
569,using,3
570,Liquid,1
571,"network,",1
572,scaling,1
573,system.,1
574,With,1
575,@Blockstream's,1
576,"help,",1
577,nation,2
578,may,3
579,soon,1
580,"volcanos,",1
581,among,1
582,other,5
583,“few,1
584,bond,1
585,offerings”.,1
586,https://t.co/BHOQz6bU6T,1
587,own,4
588,0.21,1
589,"BTC,",1
590,then,4
591,than,10
592,98.71%,1
593,worlds,1
594,population,1
595,can,9
596,ever,3
597,possibly,1
598,have.,1
599,BREAKING:,1
600,Morgan,4
601,Stanley,5
602,equity,1
603,fund,1
604,owns,4
605,28.2K,2
606,shares,4
607,"Trust,",1
608,per,2
609,latest,3
610,SEC,2
611,filings.,1
612,$2500,1
613,5,10
614,if,10
615,hit,7
616,250k,2
617,today.,5
618,Just,6
619,retweet,6
620,following,6
621,me.,2
622,North,1
623,American-based,1
624,firm,1
625,Hut,1
626,8,1
627,added,2
628,500,1
629,balance,1
630,sheet,1
631,three,1
632,"months,",1
633,goal,1
634,"5,000",1
635,year-end.,1
636,"beauty,",1
637,profitable,1
638,recycle,1
639,human,3
640,prosperity,1
641,freedom.,1
642,https://t.co/D7f7m6tori,1
643,JUST,1
644,IN:,1
645,Trust,2
646,error,1
647,most,9
648,critics,3
649,they,7
650,can’t,2
651,argue,1
652,pro-bitcoin,1
653,bitcoiners.,1
654,As,2
655,Charlie,1
656,Munger,1
657,famously,1
658,"said,",1
659,“I,1
660,never,2
661,allow,1
662,myself,1
663,opinion,1
664,anything,1
665,don’t,2
666,know,7
667,side’s,1
668,argument,1
669,do.”,1
670,cheap,1
671,Long-Term,1
672,BTC,7
673,Holders,1
674,it.,6
675,They've,1
676,"741,363",1
677,holdings,1
678,since,1
679,initial,1
680,drawdown,1
681,late,3
682,May.,1
683,*note:,1
684,some,2
685,this,19
686,STHs,1
687,aging,1
688,LTHs,1
689,https://t.co/1PfiHotjOK,1
690,Fix,2
691,"Money,",1
692,World,2
693,nfa,1
694,https://t.co/vdG694aOwr,1
695,$500,1
696,(,1
697,100,1
698,each,3
699,),1
700,245k,2
701,"average,",1
702,tripled,1
703,annually,1
704,ten,1
705,years.,3
706,https://t.co/R2bJBATUPg,1
707,Happy,1
708,pay,3
709,Craig,1
710,his,6
711,costs,2
712,case.,1
713,How,1
714,does,2
715,payment,1
716,address,1
717,associated,1
718,block,2
719,#9,1
720,sound?,1
721,"""Morgan",1
722,bought,3
723,"28,289",2
724,Trust.,1
725,"position.""",1
726,@MacroScope17,1
727,institutional,2
728,watch:,1
729,In,3
730,"today,",1
731,Europe,1
732,Opportunity,1
733,Fund,1
734,reported,1
735,owning,1
736,as,14
737,April,1
738,30.,1
739,position.,1
740,Filing:,1
741,https://t.co/t0IxUVqkXR,1
742,Thanks,3
743,Jerome,1
744,Powell,1
745,Fed,2
746,crowding,1
747,many,3
748,🙏,2
749,secreto,1
750,invertir,1
751,comprar,1
752,ahora,1
753,vender.,1
754,Solo,1
755,vende,1
756,un,1
757,específico,1
758,necesidad…,1
759,inviertes,1
760,"bien,",1
761,segundo,1
762,pasará,1
763,😎.,1
764,Diversificar,1
765,tus,1
766,inversiones,1
767,necesario,1
768,e,1
769,inteligente,1
770,😌.,2
771,IT'S,1
772,OFFICIAL:,1
773,yesterday,1
774,(june,1
775,27,1
776,"2021),",1
777,saw,2
778,slowest,1
779,blocks,2
780,TEN,1
781,YEARS,1
782,(since,1
783,2010).,1
784,times,1
785,avg.,1
786,"23min,",1
787,instead,3
788,target,1
789,10min.,1
790,"""china",1
791,"ban""",1
792,disruptive,1
793,action,1
794,"faced,",1
795,"survive,",1
796,"adapt,",1
797,thrive,1
798,👇,1
799,https://t.co/vEMR1zlDHx,1
800,Coinbase,1
801,received,1
802,approval,1
803,from,8
804,Germany,1
805,crypto,7
806,custody,3
807,business!,1
808,🙌,6
809,Yo,1
810,Americans,1
811,put,2
812,IRA,1
813,retirement.,1
814,successful,1
815,world,4
816,believe,2
817,2.0.,1
818,you’re,2
819,"HODLer,",1
820,do,4
821,know?,1
822,https://t.co/USz6DOOMws,1
823,Bitcoin's,2
824,hashrate,1
825,looks,1
826,listed,1
827,Uniswap,1
828,https://t.co/V5Fc8n0oSN,1
829,month's,1
830,shout,1
831,out,7
832,goes,1
833,"China,",2
834,selflessly,1
835,helping,1
836,remove,1
837,last,2
838,area,1
839,major,3
840,centralisation,1
841,her,3
842,"loss,",1
843,loss,1
844,children,2
845,children's,1
846,children.,1
847,chart,2
848,crazy.,1
849,Oh,1
850,wait...thats,1
851,actually,2
852,US,4
853,dollar,3
854,printing.,1
855,https://t.co/IVdeV8vUpe,1
856,@BitcoinMagazine,1
857,Projecting,1
858,Future,2
859,Energy,1
860,Use,1
861,We,3
862,likely,3
863,already,1
864,peak,1
865,"emissions,",1
866,emissionless,1
867,10,3
868,years',1
869,https://t.co/JFyxkawaH6,1
870,off,3
871,grid,1
872,hydro-electricity,1
873,creek.,1
874,Decentralised.,1
875,Unstoppable.,1
876,💪,2
877,https://t.co/8gaKGgkLxx,1
878,"""Bullish.",1
879,Have,1
880,be.,1
881,There's,1
882,coming,2
883,"in,""",1
884,@JimCramer.,1
885,"""I",2
886,went,1
887,back,2
888,#ethereum,1
889,held,2
890,$30K.,2
891,ethereum,2
892,use,5
893,able,2
894,"things.""",1
895,https://t.co/IIAeUL4BNL,1
896,designed,1
897,impossible,1
898,stop.,1
899,Here’s,2
900,miner,2
901,"grid,",1
902,small,2
903,stream,1
904,power,4
905,source,1
906,pure,1
907,ingenuity.,1
908,https://t.co/IIzGLCfTB7,1
909,Did,2
910,fraction,1
911,#bitcoin?,1
912,It's,2
913,called,3
914,satoshi,2
915,short.,1
916,"1,000,000",1
917,$341.82,1
918,USD.,1
919,Become,1
920,Satoshi,1
921,Millionaire,1
922,Today!,1
923,BTCPay,2
924,charge,1
925,sellers,1
926,0%,2
927,plus,2
928,0,2
929,cents,1
930,process,1
931,transactions...,1
932,charged,1
933,cents.,1
934,"""Governments",1
935,…,2
936,burns,1
937,them,3
938,"trap,",1
939,"is,",1
940,"fraud.""",1
941,#cryptocurrency,9
942,https://t.co/RagpqIcxmZ,2
943,ATMs,1
944,being,2
945,across,1
946,shopping,1
947,centers,1
948,gas,1
949,"stations,",1
950,cities,1
951,towns.,1
952,https://t.co/IEXyJIrnAl,1
953,“Do,1
954,go,2
955,path,2
956,"lead,",1
957,there,1
958,leave,1
959,trail.”,1
960,Ralph,1
961,Waldo,1
962,Emerson,1
963,20-50%,1
964,when,5
965,immigrants,1
966,home,1
967,families.,1
968,banking,4
969,payments,1
970,legalised,1
971,extortion.,1
972,fixes,3
973,this.,3
974,you're,1
975,worried,3
976,planning,1
977,51%,1
978,attack,1
979,'kill',1
980,watch,1
981,2,3
982,minute,2
983,video,4
984,you'll,1
985,sleep,1
986,soundly,1
987,tonight.,1
988,https://t.co/62ZkLMxli8,1
989,Azteca,1
990,become,2
991,bank,12
992,$7.3,1
993,"billion,",1
994,deposits,1
995,$5,1
996,billion,6
997,"20,000",2
998,employees.,1
999,https://t.co/pkCMdqxFiA,1
1000,Elon,4
1001,Musk,4
1002,deserves,1
1003,measured,1
1004,"criticism,",1
1005,let’s,1
1006,forget,1
1007,Tesla,3
1008,+$1b,1
1009,him.,1
1010,That’s,2
1011,ants!,1
1012,😂,2
1013,deliberately,1
1014,excludes,1
1015,billions,2
1016,poor,1
1017,people.,2
1018,CONFIRMED:,1
1019,Jack,3
1020,Dorsey,3
1021,discuss,1
1022,“₿,1
1023,Word”,1
1024,event,3
1025,corporate,1
1026,investors.,1
1027,@TheBlock__,1
1028,getting,3
1029,closer,2
1030,joining,1
1031,world.,2
1032,"@PeterMcCormack,",1
1033,we,6
1034,had,3
1035,fantastic,1
1036,learning,1
1037,discussion!,1
1038,Wells,1
1039,Fargo,1
1040,Goldman,1
1041,Sachs,1
1042,JPMorgan,1
1043,Citibank,1
1044,+,2
1045,hundreds,1
1046,more!,1
1047,They’re,1
1048,going,6
1049,push,1
1050,tens,1
1051,millions,2
1052,customers.,1
1053,💧,8
1054,ATOLL,3
1055,finance,1
1056,Airdrop,9
1057,🏆,4
1058,Task:,4
1059,➕,8
1060,Up,4
1061,(~$4),1
1062,👨‍👩‍👧,4
1063,Referral:,4
1064,(~$0.8),1
1065,🔛,4
1066,Link,4
1067,Information:,4
1068,https://t.co/mem0YpvqOA,1
1069,#BSC,5
1070,#Airdrop,5
1071,#ATOLLfinance,1
1072,#ATOLL,1
1073,#AirdropStario,4
1074,Here's,1
1075,quick,2
1076,test:,1
1077,speaking,1
1078,skeptic,1
1079,claim,1
1080,"""isn't",1
1081,real,1
1082,"money"",",1
1083,ask,1
1084,explain,1
1085,currency.,2
1086,Then,1
1087,sit,1
1088,observe...,1
1089,🧐,1
1090,happy,1
1091,tell,2
1092,about,9
1093,@justbtc_com_ng,1
1094,reliable,1
1095,"platform,",2
1096,"Bitcoin,",3
1097,giftcards,1
1098,24/7,1
1099,sweetest,1
1100,rates.,1
1101,Trade,1
1102,https://t.co/EIOBrvb9YD,1
1103,cos,1
1104,it’s,2
1105,100%,2
1106,legit,1
1107,.,1
1108,https://t.co/76iC1Xi6Px,1
1109,Miner,1
1110,di,1
1111,terpaksa,1
1112,memindahkan,1
1113,operasi,2
1114,mereka,1
1115,ke,2
1116,negara,1
1117,lain,1
1118,slps,1
1119,china,1
1120,menjalankan,1
1121,menyerbu,1
1122,miners,3
1123,"besar2an,",1
1124,menyebabkan,1
1125,harga,1
1126,tergolek.,1
1127,Harga,1
1128,memuncak,1
1129,pada,1
1130,US64k,1
1131,jatuh,1
1132,US34k.,1
1133,"So,",1
1134,sekarang,1
1135,kita,1
1136,tahu,1
1137,mover,1
1138,datang,1
1139,dari,1
1140,https://t.co/NC7qz7DFqv,1
1141,Banning,2
1142,makes,2
1143,stronger.,1
1144,resilient.,1
1145,generations,1
1146,look,4
1147,it’ll,1
1148,obvious,1
1149,decentralised,1
1150,monetary,2
1151,scale,1
1152,resilient,1
1153,state,2
1154,acting,1
1155,against,2
1156,best,2
1157,prepare,1
1158,crash,5
1159,crash.,2
1160,history,3
1161,coming.,1
1162,good,1
1163,news,5
1164,during,1
1165,Bad,1
1166,long,2
1167,one.,1
1168,Get,1
1169,"gold,",3
1170,"silver,",1
1171,while,3
1172,can.,1
1173,Take,1
1174,care.,1
1175,今日から10日間のみビットコイン（bitcoin）を毎日プレゼントします🎁#残り4日,1
1176,抽選で1名の方に,3
1177,「10万円相当のBTC」,3
1178,をプレゼントします！,3
1179,応募期間,3
1180,6月28日まで,1
1181,参加条件,3
1182,・当アカウントをフォロー,3
1183,・このツイートをRT＋いいね,3
1184,#ビットコイン,3
1185,#仮想通貨,3
1186,conversation,1
1187,Quincy,1
1188,Jones.,1
1189,"XRP,",1
1190,"XLM,",1
1191,"XDC,",1
1192,"ALGO,",1
1193,"Flare,",1
1194,"Contracts,",1
1195,Corda,1
1196,more.,1
1197,https://t.co/t6wClapHAO,1
1198,Indians,1
1199,dropping,1
1200,cryptocurrencies.,1
1201,replaces,1
1202,asset,5
1203,store,2
1204,pass,1
1205,generation,2
1206,Government,1
1207,“ban”,1
1208,marketing,1
1209,campaign,1
1210,led,1
1211,increased,1
1212,Both,1
1213,trends,1
1214,easy,1
1215,anticipate,1
1216,✅,3
1217,https://t.co/bX6UpPmAT0,1
1218,recommend,2
1219,"bitcoin,",1
1220,"#bitcoin,""",1
1221,said,4
1222,Mexico's,2
1223,third-richest,1
1224,man.,4
1225,hash,4
1226,rate,2
1227,⬇️,1
1228,decentralization,1
1229,⬆️,1
1230,Billionaire,2
1231,Ricardo,10
1232,Salinas,7
1233,now,5
1234,hodls,1
1235,10%,1
1236,portfolio,1
1237,way.,1
1238,https://t.co/CrD7LFLWlC,1
1239,Mexican,3
1240,billionaire,2
1241,Pliego,3
1242,endorsed,2
1243,accepting,3
1244,cryptocurrency,2
1245,https://t.co/uy2zBtCoiY,1
1246,We’re,1
1247,$30+,1
1248,September,2
1249,7th,1
1250,want,7
1251,publicly,1
1252,thank,1
1253,Max,1
1254,Keiser,1
1255,abusing,1
1256,"Twitter,",1
1257,flushing,1
1258,toxic,1
1259,Bitconners,1
1260,(new,1
1261,"term),",1
1262,allowing,1
1263,couple,1
1264,hundred,1
1265,clean,1
1266,up,6
1267,feed!,1
1268,Cheers,1
1269,Max.,1
1270,"Meanwhile,",1
1271,love,3
1272,digital,8
1273,space.,1
1274,Onwards...,1
1275,"Pliego,",1
1276,noted,1
1277,bull,2
1278,166th,1
1279,richest,7
1280,person,8
1281,"world,",1
1282,he,3
1283,largest,3
1284,cryptocurrency.,1
1285,@KReyofCoinDesk,1
1286,https://t.co/TREFPyiaRI,1
1287,$245,1
1288,#BITCOIN,3
1289,BREAKING,1
1290,OUT!!!,1
1291,$120,1
1292,one,5
1293,24,2
1294,hours,3
1295,Retweet,2
1296,follow,2
1297,@Crypto_Fridays,1
1298,@BitcoinSorority,1
1299,#crypto,1
1300,#cryptoart,1
1301,#cryptocurrencies,1
1302,#cryptonews,1
1303,#cryptotwitter,1
1304,#cryptotrading,1
1305,#cryptogiveaway,1
1306,#cryptomoonshots,1
1307,#cryptocrash,1
1308,#BitcoinCrash,2
1309,JPMorgan:,1
1310,"""the",3
1311,crackdown,1
1312,operations,1
1313,should,3
1314,considered,1
1315,positive,1
1316,medium,1
1317,term,5
1318,accelerates,1
1319,shift,1
1320,China’s,1
1321,high,2
1322,share,1
1323,bitcoin’s,1
1324,"rate,",1
1325,reducing,1
1326,"concentration.""",1
1327,They,3
1328,finally,1
1329,caught,1
1330,https://t.co/fyq2fmwiUS,1
1331,popped!,1
1332,💥,1
1333,🚀,1
1334,https://t.co/VKvLkGeamQ,1
1335,@RicardoBSalinas,5
1336,Thank,1
1337,you.,1
1338,chapter,1
1339,"""The",6
1340,Mobile,1
1341,"Wave""",1
1342,#Lightning,1
1343,mobile,1
1344,"devices,",1
1345,providing,1
1346,property,3
1347,rights,2
1348,economic,1
1349,empowerment,1
1350,everyone,7
1351,earth.🌍,1
1352,exciting⚡️chapter,1
1353,yet...,1
1354,For,2
1355,modern,2
1356,determine,1
1357,world's,1
1358,reserve,1
1359,https://t.co/kTsl8ezHhc,1
1360,country,1
1361,#ElSalvador,4
1362,adopt,2
1363,official,2
1364,"currency,",1
1365,embraced,1
1366,coffee,2
1367,did,1
1368,stash,1
1369,central,1
1370,bank.,1
1371,hope,3
1372,ramifications,1
1373,everyone.,1
1374,been,5
1375,discussing,1
1376,external,1
1377,advisors?,1
1378,From,1
1379,NY,1
1380,Fed's,1
1381,meeting,1
1382,Feb,1
1383,10:,1
1384,"""Some",1
1385,committee,1
1386,attendees,1
1387,(and,1
1388,currencies),1
1389,alternative,1
1390,"wealth,",1
1391,comparable,1
1392,traditional,1
1393,ones,1
1394,such,1
1395,"gold.""",1
1396,full...,1
1397,https://t.co/rIYio2TC0w,1
1398,BidFever,1
1399,1500,1
1400,BDF,2
1401,(~$5.1),1
1402,150,1
1403,(~$0.51),1
1404,h,2
1405,https://t.me/AirdropStar/1584,1
1406,#BDF,1
1407,#BidFever,1
1408,traded,1
1409,enormous,1
1410,liquidity,1
1411,global,4
1412,"level,",1
1413,enough,2
1414,reason,1
1415,part,2
1416,"portfolio,",1
1417,period.,1
1418,Mexico’s,5
1419,3rd,6
1420,Huge,4
1421,week!,2
1422,news!,2
1423,Spain’s,2
1424,second-largest,2
1425,"bank,",2
1426,"BBVA,",2
1427,begin,2
1428,offering,2
1429,private,2
1430,clients,3
1431,Switzerland.,2
1432,Are,2
1433,excited,2
1434,adding,2
1435,BTC?,1
1436,https://t.co/XSFY6FA1ph,1
1437,negative,1
1438,fake,1
1439,barrage,1
1440,few,2
1441,months,1
1442,absolutely,1
1443,astounding.,1
1444,Bitcoin’i,1
1445,2011,1
1446,gibi,1
1447,erken,1
1448,dönemde,1
1449,benimseyenlerden,1
1450,biri,1
1451,olan,1
1452,ve,1
1453,ile,1
1454,ilgili,1
1455,çalışmalarıyla,1
1456,bilinen,1
1457,Mircea,3
1458,Popescu’nun,1
1459,Kosta,1
1460,Rika’da,1
1461,denizde,1
1462,boğularak,1
1463,hayatını,1
1464,kaybettiği,1
1465,bildiriliyor.,1
1466,https://t.co/OpxKq4P9Da,1
1467,"miners,",1
1468,we’re,1
1469,see,3
1470,difficulty,1
1471,drop,1
1472,EVER,1
1473,upcoming,2
1474,week,3
1475,(Over,1
1476,20%)!,1
1477,thread,1
1478,speed!,1
1479,👇👇,1
1480,$2000,1
1481,https://t.co/2Yh4kgY4bm,1
1482,una,2
1483,buena,1
1484,forma,1
1485,diversificar,1
1486,tu,1
1487,portafolio,1
1488,inversión,1
1489,creo,1
1490,inversionista,1
1491,debería,1
1492,ponerse,1
1493,estudiar,1
1494,cryptomonedas,1
1495,su,1
1496,futuro.,1
1497,En,1
1498,@BancoAzteca,1
1499,estamos,1
1500,trabajando,1
1501,traerlas,1
1502,nuestros,1
1503,clientes,1
1504,seguir,1
1505,promoviendo,1
1506,libertad,1
1507,😌😎,1
1508,https://t.co/bZ51FB2vKw,1
1509,$30k,1
1510,continues,1
1511,"hold,",1
1512,we’ll,1
1513,break,1
1514,$100k,3
1515,year!,1
1516,"Salinas,",3
1517,46.8,1
1518,million,4
1519,millionaires,1
1520,only,2
1521,21,3
1522,—,1
1523,less,1
1524,half,1
1525,bitcoin.,4
1526,Don't,1
1527,miss,1
1528,revolution.,1
1529,short,4
1530,worth,3
1531,"watching,",1
1532,esp,1
1533,#ElSalvador’s,1
1534,policy,2
1535,decision,2
1536,movement,1
1537,started,2
1538,"Zonte,",1
1539,@Bitcoinbeach!,1
1540,changing,1
1541,lives,1
1542,https://t.co/GiVR3qyqx7,1
1543,Kitten,1
1544,30,4
1545,KIT,2
1546,(~$70),1
1547,(~$11.6),1
1548,https://t.co/Ew3ltr6vd7,1
1549,#KIT,1
1550,#KittenWorld,1
1551,told,2
1552,"$60,000.",1
1553,Now,1
1554,sell,1
1555,"$30,000.",1
1556,these,3
1557,clowns,1
1558,understand,2
1559,accumulation,1
1560,game?Price,1
1561,doesn’t,2
1562,matter.,1
1563,While,1
1564,telling,1
1565,"""Short",1
1566,"Banks""",1
1567,adults,1
1568,build,1
1569,financial,2
1570,#xrp,1
1571,#xlm,1
1572,https://t.co/oIeuWa9tc1,1
1573,Hubiera,1
1574,sido,1
1575,bueno,1
1576,diputados,1
1577,analizaran,1
1578,beneficios,1
1579,consecuencias,1
1580,ley,1
1581,antes,1
1582,aprobarla,1
1583,carrera.,1
1584,🤦🏼‍♂️,1
1585,Por,1
1586,eso,1
1587,proceso,1
1588,formación,1
1589,leyes,1
1590,exige,1
1591,discusión,1
1592,invitando,1
1593,escuchar,1
