id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1420532289100992515,1420532289100992515,2021-07-28 19:51:04 Eastern Daylight Time,2021-07-28,19:51:04,-0500,18856867,zerohedge,zerohedge,,*MUSK SAYS TESLA HAS 'CLOSE' TO $1.47B WORTH OF BITCOIN,en,[],[],[],196,442,4607,[],[],https://twitter.com/zerohedge/status/1420532289100992515,False,,0,,,,,,,,[],,,,
1420529868404518913,1420267443436462082,2021-07-28 19:41:27 Eastern Daylight Time,2021-07-28,19:41:27,-0500,44196397,elonmusk,Elon Musk,,"@heydave7 We don’t have that many Bitcoin, but it’s close",en,[],[],[],3355,1331,25715,[],[],https://twitter.com/elonmusk/status/1420529868404518913,False,,0,,,,,,,,"[{'screen_name': 'heydave7', 'name': 'Dave Lee', 'id': '29893444'}]",,,,
1420508822070833153,1420508822070833153,2021-07-28 18:17:49 Eastern Daylight Time,2021-07-28,18:17:49,-0500,970994516357472257,btc_archive,Bitcoin Archive 🗄🚀🌔,,#Bitcoin crossed $40K 18 times in the last 24 hrs 😅,en,[],[],[],381,784,7793,['bitcoin'],[],https://twitter.com/BTC_Archive/status/1420508822070833153,False,,0,,,,,,,,[],,,,
1420498534915354631,1420498534915354631,2021-07-28 17:36:56 Eastern Daylight Time,2021-07-28,17:36:56,-0500,1356434353623093249,greg16676935420,greg,,#Bitcoin doing that thing again  https://t.co/pHEMnbPLFr,en,[],[],['https://pbs.twimg.com/media/E7af4sYX0AUCpLn.jpg'],121,320,4501,['bitcoin'],[],https://twitter.com/greg16676935420/status/1420498534915354631,False,,1,https://pbs.twimg.com/media/E7af4sYX0AUCpLn.jpg,,,,,,,[],,,,
1420493989837479939,1420493989837479939,2021-07-28 17:18:53 Eastern Daylight Time,2021-07-28,17:18:53,-0500,90420314,actuallynph,Neil Patrick Harris,,"Crypto is for everyone! I’m giving away $3,000 in #bitcoin with @CoinFlipATM ! RT this tweet, follow @CoinFlipATM, and declare your favorite crypto in the comments with #CryptoIsCool for a chance to win $100 in #bitcoin. US only, 18+. Rules:  https://t.co/gXR3a7DSox  https://t.co/2l80Cmogfs",en,"[{'screen_name': 'coinflipatm', 'name': 'coinflip atm', 'id': '1460667547653656586'}, {'screen_name': 'coinflipatm', 'name': 'coinflip atm', 'id': '1460667547653656586'}]",['https://coinflip.tech/nph-giveaway-tos.pdf'],[],283,226,516,"['bitcoin', 'cryptoiscool', 'bitcoin']",[],https://twitter.com/ActuallyNPH/status/1420493989837479939,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1420493983428587529/pu/img/W-hpyRDvtzwc1mxS.jpg,,,,,,,[],,,,
1420491467198455809,1420491467198455809,2021-07-28 17:08:51 Eastern Daylight Time,2021-07-28,17:08:51,-0500,827319702,shaunwitriol,Shaun Witriol,,#Safemoon there are more bridges 🌉 coming that will add to the volume. (And a Exchange) 😉  We are in the early stages of something unbelievable.  #safemoonwallet #safemoonarmy #crypto #cryptocurrency #ethereum #bitcoin,en,[],[],[],83,318,1114,"['safemoon', 'safemoonwallet', 'safemoonarmy', 'crypto', 'cryptocurrency', 'ethereum', 'bitcoin']",[],https://twitter.com/ShaunWitriol/status/1420491467198455809,False,,0,,,,,,,,[],,,,
1420479656730443776,1420479656730443776,2021-07-28 16:21:56 Eastern Daylight Time,2021-07-28,16:21:56,-0500,170049408,davidgokhshtein,David Gokhshtein,,The bull run is just starting.   Starts with #Bitcoin,en,[],[],[],223,247,1801,['bitcoin'],[],https://twitter.com/davidgokhshtein/status/1420479656730443776,False,,0,,,,,,,,[],,,,
1420477257643089926,1420477257643089926,2021-07-28 16:12:24 Eastern Daylight Time,2021-07-28,16:12:24,-0500,1337780902680809474,documentingbtc,Documenting Bitcoin 📄,,"Congressman @WarrenDavidson, ""We're having this conversation here because Satoshi Nakamoto created #Bitcoin...a true distributed ledger""  https://t.co/ZzWOgcRaeX",en,"[{'screen_name': 'warrendavidson', 'name': 'warren davidson', 'id': '742735530287304704'}]",[],[],61,249,1478,['bitcoin'],[],https://twitter.com/DocumentingBTC/status/1420477257643089926,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1420477208485826562/pu/img/sH-HMxy7PI_erb0G.jpg,,,,,,,[],,,,
1420475537538043906,1420475537538043906,2021-07-28 16:05:33 Eastern Daylight Time,2021-07-28,16:05:33,-0500,339061487,apompliano,Pomp 🌪,,Satoshi Nakamoto has been the most dependable central bank leader over the last decade.  Independent. Reliable. Predictable. Consistent. Transparent.   This is the beauty of bitcoin.,en,[],[],[],214,516,4301,[],[],https://twitter.com/APompliano/status/1420475537538043906,False,,0,,,,,,,,[],,,,
1420466871313240064,1420466871313240064,2021-07-28 15:31:07 Eastern Daylight Time,2021-07-28,15:31:07,-0500,17351167,scottmelker,The Wolf Of All Streets,,Buy #Bitcoin,und,[],[],[],297,424,4165,['bitcoin'],[],https://twitter.com/scottmelker/status/1420466871313240064,False,,0,,,,,,,,[],,,,
1420459672369254404,1420459672369254404,2021-07-28 15:02:31 Eastern Daylight Time,2021-07-28,15:02:31,-0500,970994516357472257,btc_archive,Bitcoin Archive 🗄🚀🌔,,FED: inflation could turn out to be higher than expected and last longer.   🤔 No shit… Buy #Bitcoin 🚀,en,[],[],[],95,454,3562,['bitcoin'],[],https://twitter.com/BTC_Archive/status/1420459672369254404,False,,0,,,,,,,,[],,,,
1420459102220791814,1420459102220791814,2021-07-28 15:00:15 Eastern Daylight Time,2021-07-28,15:00:15,-0500,1136711154435207168,cynthiamlummis,Cynthia Lummis 🦬,,1 addition: Big gov’t spenders are (accidentally) doing far more to accelerate the adoption of digital assets than I am. The debasement of our currency is causing a flight to digital assets like #bitcoin that are a store of value. (1/2),en,[],[],[],39,167,1026,['bitcoin'],[],https://twitter.com/CynthiaMLummis/status/1420459102220791814,False,https://twitter.com/Varneyco/status/1420443939220377602,0,,,,,,,,[],,,,
1420458385414135809,1420458385414135809,2021-07-28 14:57:24 Eastern Daylight Time,2021-07-28,14:57:24,-0500,1158640986181890049,bitcoinbeach,Bitcoin Beach,,#Bitcoin is a hedge against Senators with shady claims of Cherokee ancestry,en,[],[],[],42,149,1253,['bitcoin'],[],https://twitter.com/Bitcoinbeach/status/1420458385414135809,False,,0,,,,,,,,[],,,,
1420451558270160898,1420451558270160898,2021-07-28 14:30:16 Eastern Daylight Time,2021-07-28,14:30:16,-0500,1012436626776174592,airdropdet,AirdropDetective,,🔍 New #Airdrop: OpenExhibition  💲 Reward: Up to 2.7B OEC [~$10] + 900B OEC [~$3330] referral pool  🔴 Start the airdrop bot:  https://t.co/sfactTm59s  🔘 Do the tasks on the bot &amp; submit your data  🔘 Details:  https://t.co/NOvtpwCrTK  #AirdropDetective #OpenExhibition #Bitcoin  https://t.co/v730OUwIki,en,[],"['http://t.me/OpenExhibitionAirdropBot', 'https://youtu.be/Kk5z3_GwW10']",['https://pbs.twimg.com/media/E7ZvJ5VXIAccEWT.jpg'],1378,11527,11779,"['airdrop', 'airdropdetective', 'openexhibition', 'bitcoin']",[],https://twitter.com/AirdropDet/status/1420451558270160898,False,,1,https://pbs.twimg.com/media/E7ZvJ5VXIAccEWT.jpg,,,,,,,[],,,,
1420447832469876738,1420447832469876738,2021-07-28 14:15:28 Eastern Daylight Time,2021-07-28,14:15:28,-0500,856502965661822976,altcoinrookie,Rookie🦥🔺❄️,,Bitcoin saat 01.00'a kadar 40.000$ üzerine çıkacak. Çıkmazsa bu tweeti RT eden 1 kişiye 50$ gönderiyorum.,tr,[],[],[],190,1592,1852,[],[],https://twitter.com/altcoinrookie/status/1420447832469876738,False,,0,,,,,,,,[],,,,
1420446224717684736,1420446224717684736,2021-07-28 14:09:05 Eastern Daylight Time,2021-07-28,14:09:05,-0500,14527699,udiwertheimer,udiverse black,,EVERYONE WHO TWEETS “BITCOIN IS DIGITAL REAL ESTATE” GETS A RETWEET LET’S GO,en,[],[],[],727,232,1433,[],[],https://twitter.com/udiWertheimer/status/1420446224717684736,False,,0,,,,,,,,[],,,,
1420445127193993216,1420445127193993216,2021-07-28 14:04:43 Eastern Daylight Time,2021-07-28,14:04:43,-0500,357312062,bitcoin,Bitcoin,,"$40,000.  https://t.co/bLJLZIPHsD",und,[],[],[],704,1222,7627,[],[],https://twitter.com/Bitcoin/status/1420445127193993216,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1420444967575588867/pu/img/1PEdcaLRH16-jZTS.jpg,,,,,,,[],,,,
1420444717544837130,1420444717544837130,2021-07-28 14:03:05 Eastern Daylight Time,2021-07-28,14:03:05,-0500,1337780902680809474,documentingbtc,Documenting Bitcoin 📄,,"NYDIG is now working with U.S. banks to help view #bitcoin as collateral, allowing hodlers to leverage their #bitcoin for mortgages and loans.  A monumental step in the adoption of #bitcoin   https://t.co/JXXNXuURjM",en,[],['https://www.theblockcrypto.com/post/112788/nydig-is-unleashing-bitcoin-financial-products-onto-thousands-of-regional-banks'],[],44,182,814,"['bitcoin', 'bitcoin', 'bitcoin']",[],https://twitter.com/DocumentingBTC/status/1420444717544837130,False,,0,,,,,,,,[],,,,
1420443599829938191,1420443599829938191,2021-07-28 13:58:39 Eastern Daylight Time,2021-07-28,13:58:39,-0500,1598709350,danheld,Dan Held,,Elizabeth Warren thinks that Bitcoin could threaten the existing financial system.   Damn right it does.,en,[],[],[],385,700,7270,[],[],https://twitter.com/danheld/status/1420443599829938191,False,,0,,,,,,,,[],,,,
1420441447065694213,1420441447065694213,2021-07-28 13:50:06 Eastern Daylight Time,2021-07-28,13:50:06,-0500,970994516357472257,btc_archive,Bitcoin Archive 🗄🚀🌔,,Another #Bitcoin mutual fund launched today!  Stone Ridge has filed for a #Bitcoin Strategy mutual fund! 🚀,en,[],[],[],49,268,2105,"['bitcoin', 'bitcoin']",[],https://twitter.com/BTC_Archive/status/1420441447065694213,False,,0,,,,,,,,[],,,,
1420437298391527434,1420437298391527434,2021-07-28 13:33:37 Eastern Daylight Time,2021-07-28,13:33:37,-0500,3185716686,ashwsbreal,Ash WSB 🍥,,$100 in #Bitcoin to 1 person just retweet and follow @priviprotocol,en,"[{'screen_name': 'priviprotocol', 'name': 'privi | web 3.0 dapp store', 'id': '1112630982782447616'}]",[],[],348,1211,768,['bitcoin'],[],https://twitter.com/ashwsbreal/status/1420437298391527434,False,,0,,,,,,,,[],,,,
1420435959938752519,1420435959938752519,2021-07-28 13:28:17 Eastern Daylight Time,2021-07-28,13:28:17,-0500,3185716686,ashwsbreal,Ash WSB 🍥,,"$100 in #bitcoin to 1 person, just retweet and be following me.",en,[],[],[],499,3431,1948,['bitcoin'],[],https://twitter.com/ashwsbreal/status/1420435959938752519,False,,0,,,,,,,,[],,,,
1420432600548716546,1420432600548716546,2021-07-28 13:14:56 Eastern Daylight Time,2021-07-28,13:14:56,-0500,970994516357472257,btc_archive,Bitcoin Archive 🗄🚀🌔,,#Bitcoin supply crunch in action 😍 You love to see it! 🚀  https://t.co/APsTjMC1WV,en,[],[],['https://pbs.twimg.com/media/E7Zj6qSXMAEZP5Q.jpg'],71,362,1897,['bitcoin'],[],https://twitter.com/BTC_Archive/status/1420432600548716546,False,,1,https://pbs.twimg.com/media/E7Zj6qSXMAEZP5Q.jpg,,,,,,,[],,,,
1420426522515607554,1420426522515607554,2021-07-28 12:50:47 Eastern Daylight Time,2021-07-28,12:50:47,-0500,244647486,saylor,Michael Saylor⚡️,,"Another day, another $125 million invested in #Bitcoin. 🚀  https://t.co/OeTqDwptbl",en,[],['https://www.coindesk.com/genesis-digital-assets-raises-125m-to-fuel-us-and-nordic-expansion'],[],1117,1830,12670,['bitcoin'],[],https://twitter.com/saylor/status/1420426522515607554,False,,0,,,,,,,,[],,,,
1420414822919725062,1420414822919725062,2021-07-28 12:04:18 Eastern Daylight Time,2021-07-28,12:04:18,-0500,1156269110545793024,ladyincrypto,Inez 🌿,,$100 GIVEAWAY - 24 HOURS ⏳  - RT &amp; complete Coinmarketcap task  1. Go to  https://t.co/3q1ZJc5YpD 2. Search Bitcoin Banana 3. Tap ⭐ &amp; GOOD 👍 4. Post proof below  https://t.co/sCUFVm6EMc,en,[],['http://coinmarketcap.com'],['https://pbs.twimg.com/media/E7ZTwP0VgAEl1IT.jpg'],1935,1414,660,[],[],https://twitter.com/ladyincrypto/status/1420414822919725062,False,,1,https://pbs.twimg.com/media/E7ZTwP0VgAEl1IT.jpg,,,,,,,[],,,,
1420408265318535170,1420408265318535170,2021-07-28 11:38:15 Eastern Daylight Time,2021-07-28,11:38:15,-0500,1337780902680809474,documentingbtc,Documenting Bitcoin 📄,,Clothes dryers in the U.S. use more electricity than #Bitcoin,en,[],[],[],254,600,4634,['bitcoin'],[],https://twitter.com/DocumentingBTC/status/1420408265318535170,False,,0,,,,,,,,[],,,,
1420388522893185025,1420388522893185025,2021-07-28 10:19:48 Eastern Daylight Time,2021-07-28,10:19:48,-0500,361289499,bitcoinmagazine,Bitcoin Magazine,,"BREAKING – $60 billion fund manager @ProSharesETF has launched the first-ever #Bitcoin mutual fund.   The fund opens $BTC to an investment method ""tens of millions of investors are familiar with""  https://t.co/1JkX4DkBkN",en,"[{'screen_name': 'prosharesetf', 'name': 'proshares', 'id': '767828065321877504'}]",[],['https://pbs.twimg.com/media/E7Y69eOWYAQok-0.jpg'],70,344,1356,['bitcoin'],['btc'],https://twitter.com/BitcoinMagazine/status/1420388522893185025,False,,1,https://pbs.twimg.com/media/E7Y69eOWYAQok-0.jpg,,,,,,,[],,,,
1420385059538751493,1420385059538751493,2021-07-28 10:06:02 Eastern Daylight Time,2021-07-28,10:06:02,-0500,2272640503,iamjosephyoung,Joseph Young,,"$1.3 billion Bitcoin outflow from Coinbase.  $1,300,000,000.",en,[],[],[],177,364,3959,[],[],https://twitter.com/iamjosephyoung/status/1420385059538751493,False,,0,,,,,,,,[],,,,
